Ë÷Òý,"Functional
suitabilty",Performance,Compatblity,Usability,Rellablity,Security,Maintainability,Portability
WSQM1,1,1,0,0,1,1,0,0
WSQM2,1,1,0,0,1,1,1,1
WSQM3,1,1,1,0,1,1,0,1
WSQM4,1,1,1,0,1,1,1,1
WSQM5,0,0,0,0,1,1,1,0
WSQM6,0,1,0,0,1,1,0,0
WSQM7,1,1,0,0,1,1,0,0
WSQM8,0,0,0,0,1,1,1,0
WSQM9,1,1,1,0,1,1,0,1
WSQM10,0,1,0,0,1,1,0,1
WSQM11,1,1,1,1,1,1,1,0
WSQM12,1,1,0,0,1,1,1,1
WSQM13,1,1,1,0,1,1,1,1
WSQM14,1,1,0,0,1,1,0,0
WSQM15,1,1,0,0,1,1,0,0
WSQM16,1,1,0,0,1,1,0,1
WSQM17,1,1,1,0,1,1,0,1
WSQM18,0,1,0,0,1,1,0,1
WSQM19,1,1,1,1,1,1,1,1
WSQM20,0,1,0,0,1,1,0,0
WSQM21,1,1,0,1,1,1,1,1
WSQM22,0,1,0,0,1,1,0,1
WSQM23,1,1,1,0,1,1,1,1
WSQM24,1,1,1,1,1,1,0,0
WSQM25,0,1,0,1,1,0,0,0
WSQM26,0,0,0,0,1,0,0,0
WSQM27,0,1,1,0,1,1,0,0
WSQM28,0,1,0,0,1,1,0,0
WSQM29,1,0,0,1,1,0,0,1
WSQM30,0,1,1,1,1,1,1,0
WSQM31,1,1,0,0,1,1,0,1
WSQM32,1,1,1,1,1,1,1,0
WSQM33,1,1,0,1,1,0,0,0
WSQM34,1,1,1,0,1,1,1,1
WSQM35,0,1,0,0,1,0,0,0
WSQM36,1,1,0,0,1,1,0,0
WSQM37,1,1,1,1,1,1,1,0
WSQM38,0,1,0,0,1,1,0,0
WSQM39,1,1,0,0,1,1,0,0
WSQM40,0,1,0,0,1,0,0,0
WSQM41,1,1,0,0,1,0,0,1
WSQM42,1,1,1,1,1,1,1,1
WSQM43,1,1,1,1,1,1,1,0
WSQM44,1,1,0,0,1,1,0,1
WSQM45,1,1,1,1,1,0,1,1
WSQM46,1,1,0,0,1,1,0,1
WSQM47,1,1,0,0,1,1,0,0
